#Parameters = {a_mcp_space=3.85; anode=600; anode_pot=0; anode_thickness=20; back=1; cathode=-200; coax_core=17; coax_length=320; cut_off_set=-10; e_thickness=0.04; elecrode_thickness=1; end_spoil_size=10; insulator_core=57; max_frequency_range=25; mcp_angle=-10; mcp_mid_pot=-2201; mcp_spacing=7.7; mirror=200; number_of_pores=1; o_mcp_space=6.6683956091402; off_set=5; open_area_ratio=0.35241977864696; pix_block=360; pore_gap=8; pore_radius=2.4; pore_size=200; res_block=150; res_length_n=195; res_length_p=6; small_number=0.0008; spoil_thickness=0.5; square_block=237.7; time_step=0.001}
#"Position x"	"pic 2d monitor 2 convert to 1D [Real Part]"
#---------------------------------------------------------
-197.04474834725	-36.605662899092
-351.84391890653	57.067147281486
-218.26777083334	-20.866822524113
-261.31430058740	-20.163375666016
-171.78272537421	-8.0837780842557
-95.257833891083	21.864412701689
-129.33084508404	-45.409418817144
-111.64251191076	-31.139788916334
-253.87172354385	-5.2844752644887
-246.39055482112	-31.476283766097
-238.32221631892	-26.092458938365
-200.19775547553	14.318891771836
-201.06548618060	-14.321974049381
-207.62401982211	-48.213878471870
-220.94722953625	-13.715546629101
-208.30711582676	-42.560222937027
-228.09635265730	-25.649978852016
-161.66637942661	-52.872055675834
-272.24011137150	2.9032380552962
-150.05881141406	-43.299107346684
-277.88820443675	3.0559303922928
-233.24000358116	-13.848680282536
-147.83925144002	-29.637607440236
-220.43542412575	-3.5875034427590
-251.69595028274	10.109148206538
-216.22984786518	-8.5162009781925
-221.91840980668	10.837197805813
4.9426307668909	66.152308136225
-157.30164886918	-13.185872376198
-177.38698807079	-46.083805500530
-173.69759734720	-27.043895897805
-168.99326874409	40.383474697592
-142.91357365437	-20.325416699052
-211.97661408223	-35.606066376204
-223.95743872039	-44.448526750784
-161.18201892823	-12.401322237565
-188.69891937356	-30.945262551541
-256.61799008958	-0.88377538531859
-165.57221533731	20.642217350542
-146.24294999521	-58.979618188459
-251.78643409163	-30.715313187102
-153.97627430502	-39.348953578156
-141.60849968903	33.294847526122
-216.18035680149	-27.700616556103
-214.40423734020	-36.144891055301
-218.85026944801	2.3417183001584
-180.48315541819	-55.153952416731
-182.37598123960	34.510645491537
-238.27432596590	20.164943634882
-200.22076205351	-13.225168913777
-233.12067787629	1.1855639741043
-142.75911962614	-10.479358024895
-128.94727115054	4.7570601964253
-251.03858206421	7.5032548920717
-219.24605243839	21.253175873426
-235.36608205177	-9.9541639428935
-170.04784604069	-61.116821598262
-237.74584406055	4.1371945371793
